App,Record App,Replay App,Run Count,Mismatch
eu.faircode.email,1_1431_Elaltitan,1_1851_Fulgurotherium,2,Locator Invalidity
eu.faircode.email,1_1489_Jinyunpelta,1_1964_Ledumahadi,2,Locator Invalidity
eu.faircode.email,1_1940_Kinnareemimus,1_2051_Quetecsaurus,2,Moved to Another Page
eu.faircode.email,1_1964_Ledumahadi,1_2051_Quetecsaurus,2,Locator Invalidity
eu.faircode.email,1_1431_Elaltitan,1_1964_Ledumahadi,1,Locator Invalidity
eu.faircode.email,1_1431_Elaltitan,1_1489_Jinyunpelta,3,Locator Invalidity
eu.faircode.email,1_1964_Ledumahadi,1_2051_Quetecsaurus,3,Locator Invalidity
eu.faircode.email,1_1851_Fulgurotherium,1_2299_Ceratonykus_FairEmail-v1_2299a-large-release,2,Widget Occlusion
eu.faircode.email,1_1964_Ledumahadi,1_2051_Quetecsaurus,1,Widget Occlusion
eu.faircode.email,1_1940_Kinnareemimus,1_1964_Ledumahadi,3,Moved to Another Page
eu.faircode.email,1_1964_Ledumahadi,1_2299_Ceratonykus_FairEmail-v1_2299a-large-release,3,Moved to Another Page
com.vrem.wifianalyzer,V3_0_11-F-DROID,V3_1_4-F-DROID,2,Moved to Another Page
com.vrem.wifianalyzer,V3_0_6-F-DROID,V3_1_4-F-DROID,1,Moved to Another Page
com.vrem.wifianalyzer,V3_1_2-F-DROID,V3_1_4-F-DROID,2,Moved to Another Page
com.vrem.wifianalyzer,V3_0_4-F-DROID,V3_1_3-F-DROID,3,Moved to Another Page
app.familygem,Family_Gem_0_8,Family_Gem_1_0,1,Locator Invalidity
app.familygem,Family_Gem_0_9,Family_Gem_1_1,1,Locator Invalidity
app.familygem,Family_Gem_0_9_2,Family_Gem_1_1,2,Locator Invalidity
app.familygem,Family_Gem_0_9_1,Family_Gem_1_1,1,Moved to Another Page
app.familygem,Family_Gem_0_7_15,Family_Gem_0_9_2,2,Locator Invalidity
app.familygem,Family_Gem_1_0_1,Family_Gem_1_1,1,Locator Invalidity
app.familygem,Family_Gem_0_7_16,Family_Gem_0_8,3,Moved to Another Page
me.zhanghai.android.files,v1_5_0,v1_6_1,2,Locator Invalidity
me.zhanghai.android.files,v1_5_2,v1_7_2,2,Locator Invalidity
me.zhanghai.android.files,v1_5_2,v1_7_2,3,Locator Invalidity
me.zhanghai.android.files,v1_4_0,v1_7_3,1,Locator Invalidity
me.zhanghai.android.files,v1_3_1,v1_6_2,2,Locator Invalidity
me.zhanghai.android.files,v1_3_1,v1_7_1,3,Locator Invalidity
me.zhanghai.android.files,v1_6_1,v1_7_1,1,Locator Invalidity
me.zhanghai.android.files,v1_6_1,v1_7_0,2,Locator Invalidity
me.zhanghai.android.files,v1_5_2,v1_6_0,2,Locator Invalidity
me.zhanghai.android.files,v1_3_1,v1_5_1,3,Locator Invalidity
me.zhanghai.android.files,v1_6_0,v1_7_3,3,Widget Occlusion
me.zhanghai.android.files,v1_4_0,v1_7_2,1,Locator Invalidity
me.zhanghai.android.files,v1_4_2,v1_5_0,3,Locator Invalidity
me.zhanghai.android.files,v1_4_2,v1_7_0,1,Locator Invalidity
me.zhanghai.android.files,v1_3_1,v1_7_0,2,Locator Invalidity
me.zhanghai.android.files,v1_3_1,v1_4_2,2,Locator Invalidity
me.zhanghai.android.files,v1_4_0,v1_4_1,1,Widget Occlusion
com.arn.scrobble,0_1_2-beta,0_3_0,1,Locator Invalidity
com.arn.scrobble,0_3_1,0_4_2,1,Moved to Subpage
com.arn.scrobble,0_2_0-beta,0_3_2,2,Locator Invalidity
com.arn.scrobble,0_2_0-beta,0_5_5_InnerTune_v0_5_5_full_x86,1,Locator Invalidity
com.arn.scrobble,0_3_1,0_5_8_InnerTune_v0_5_8_full_x86,3,Locator Invalidity
com.arn.scrobble,0_2_1-beta,0_4_0,2,Moved to Another Page
com.arn.scrobble,0_1_1-beta,0_3_1,2,Widget Occlusion
com.arn.scrobble,0_1_2-beta,0_3_1,3,Locator Invalidity
com.arn.scrobble,0_3_3,0_5_2_InnerTune_v0_5_2_full_x86,2,Widget Occlusion
com.arn.scrobble,0_3_2,0_4_0,2,Widget Occlusion
com.arn.scrobble,0_3_3,0_4_4,3,Moved to Subpage
com.arn.scrobble,0_1_2-beta,0_4_1,2,Moved to Subpage
com.arn.scrobble,0_1_0-beta,0_4_2,3,Widget Occlusion
com.arn.scrobble,0_4_0,0_4_2,1,Moved to Subpage
com.arn.scrobble,0_1_2-beta,0_4_4,1,Moved to Subpage
com.arn.scrobble,0_3_0,0_5_2_InnerTune_v0_5_2_full_x86,2,Locator Invalidity
com.arn.scrobble,0_2_1-beta,0_3_0,2,Widget Occlusion
com.arn.scrobble,0_4_0,0_4_3,3,Moved to Subpage
com.arn.scrobble,0_5_5_InnerTune_v0_5_5_full_x86,0_5_9_InnerTune_v0_5_9_full_x86,1,Locator Invalidity
com.arn.scrobble,0_3_2,0_4_0,3,Locator Invalidity
com.arn.scrobble,0_5_6_InnerTune_v0_5_6_full_x86,0_5_7_InnerTune_v0_5_7_full_x86,1,Locator Invalidity
com.arn.scrobble,0_3_1,0_4_0,2,Widget Occlusion
com.arn.scrobble,0_1_1-beta,0_4_2,2,Moved to Subpage
com.arn.scrobble,0_3_2,0_4_1,1,Moved to Subpage
com.arn.scrobble,0_5_5_InnerTune_v0_5_5_full_x86,0_5_7_InnerTune_v0_5_7_full_x86,3,Moved to Another Page
com.arn.scrobble,0_5_4_InnerTune_v0_5_4_full_x86,0_5_9_InnerTune_v0_5_9_full_x86,3,Locator Invalidity
com.arn.scrobble,0_5_8_InnerTune_v0_5_8_full_x86,0_5_9_InnerTune_v0_5_9_full_x86,3,Moved to Another Page
com.arn.scrobble,0_2_1-beta,0_3_2,1,Locator Invalidity
com.arn.scrobble,0_1_3-beta,0_3_0,2,Widget Occlusion
com.arn.scrobble,0_5_4_InnerTune_v0_5_4_full_x86,0_5_7_InnerTune_v0_5_7_full_x86,2,Locator Invalidity
com.arn.scrobble,0_1_1-beta,0_4_4,3,Moved to Subpage
com.arn.scrobble,0_4_0,0_4_2,3,Locator Invalidity
com.arn.scrobble,0_3_0,0_4_3,3,Moved to Subpage
com.arn.scrobble,0_3_2,0_4_4,3,Moved to Subpage
com.arn.scrobble,0_2_1-beta,0_4_3,3,Widget Occlusion
com.arn.scrobble,0_2_0-beta,0_4_3,2,Moved to Subpage
com.arn.scrobble,0_1_2-beta,0_4_0,1,Widget Occlusion
com.arn.scrobble,0_2_1-beta,0_3_2,3,Widget Occlusion
com.arn.scrobble,0_5_5_InnerTune_v0_5_5_full_x86,0_5_6_InnerTune_v0_5_6_full_x86,3,Locator Invalidity
com.arn.scrobble,0_1_3-beta,0_4_0,1,Locator Invalidity
com.arn.scrobble,0_4_1,0_5_7_InnerTune_v0_5_7_full_x86,2,Locator Invalidity
com.arn.scrobble,0_1_1-beta,0_4_2,1,Moved to Subpage
com.arn.scrobble,0_5_5_InnerTune_v0_5_5_full_x86,0_5_7_InnerTune_v0_5_7_full_x86,1,Locator Invalidity
com.arn.scrobble,0_5_7_InnerTune_v0_5_7_full_x86,0_5_8_InnerTune_v0_5_8_full_x86,2,Locator Invalidity
com.arn.scrobble,0_1_2-beta,0_4_1,3,Moved to Subpage
com.arn.scrobble,0_5_4_InnerTune_v0_5_4_full_x86,0_5_9_InnerTune_v0_5_9_full_x86,1,Locator Invalidity
com.arn.scrobble,0_5_5_InnerTune_v0_5_5_full_x86,0_5_9_InnerTune_v0_5_9_full_x86,2,Locator Invalidity
com.arn.scrobble,0_4_0,0_4_1,2,Moved to Subpage
com.arn.scrobble,0_5_7_InnerTune_v0_5_7_full_x86,0_5_8_InnerTune_v0_5_8_full_x86,3,Locator Invalidity
com.arn.scrobble,0_5_6_InnerTune_v0_5_6_full_x86,0_5_7_InnerTune_v0_5_7_full_x86,2,Moved to Another Page
com.arn.scrobble,0_5_5_InnerTune_v0_5_5_full_x86,0_5_6_InnerTune_v0_5_6_full_x86,2,Moved to Another Page
com.arn.scrobble,0_5_5_InnerTune_v0_5_5_full_x86,0_5_6_InnerTune_v0_5_6_full_x86,1,Locator Invalidity
com.arn.scrobble,0_5_7_InnerTune_v0_5_7_full_x86,0_5_8_InnerTune_v0_5_8_full_x86,1,Widget Occlusion
